DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE LOCAL,ESTADO,HORARIO DE ATENCION AL PUBLICO,DIRECCION,AÑO
LIMA,LIMA,LURIN,PVM - OR LURIN,OPERATIVO,08:45 a 16:45,Mz. B Lote 5 Asociación de Vivienda Centinela (detrás del polideportivo),2024
LIMA,LIMA,SANTA ANITA,ORA HOSP. JORGE VOTO BERNALES (ESSALUD),OPERATIVO,08:45 a 16:30,"Carretera CARRETERA CENTRAL KM. 3,5 - SANTA ANITA",2024
LIMA,LIMA,CERCADO DE LIMA,HOSP. NAC DOC MADRE Y NIÑO  SAN BARTOLOME (MINSA),OPERATIVO,08:45 a 16:30,Avenida ALFONSO UGARTE 825 - LIMA,2024
LIMA,LIMA,CHORRILLOS,CMI VIRGEN DEL CARMEN  (MINSA),OPERATIVO,08:45 a 16:30,Avenida LEOPOLDO ARIAS 200 FRENTE AL COLISEO MARISCAL CACERES,2024
LIMA,LIMA,PUENTE PIEDRA,ORA HOSPITAL PUENTE PIEDRA (MINSA),OPERATIVO,08:45 a 16:30,Avenida SAENZ PEÑA S/N KM 30,2024
LIMA,LIMA,SAN JUAN DE LURIGANCHO,PVM - SAN JUAN DE LURIGANCHO,OPERATIVO,08:45 a 16:45,Avenida Las Flores 260-262  Urb. San Rafael,2024
ANCASH,OCROS,OCROS,AG OCROS,OPERATIVO,08:45 a 16:45, Plaza de Armas S/N (MUNICIPIO),2024
LIMA,HUARAL,CHANCAY,AG CHANCAY,OPERATIVO,08:45 a 16:45,Avenida 1ro de mayo s/n cdra 03,2024
LIMA,LIMA,PUEBLO LIBRE,ORA HOSPITAL SANTA ROSA,OPERATIVO,08:45 a 16:30,Avenida Bolivar Crda. 8 Pueblo Libre ,2024
LIMA,LIMA,INDEPENDENCIA,ORA  CMI TAHUANTINSUYO BAJO,OPERATIVO,08:45 a 16:30,Avenida Chinchaysullo cdra 4 Independencia,2024
LIMA,LIMA,SURQUILLO,AG. INSTITUTO NACIONAL DE ENFERMEDADES NEOPLASICAS,OPERATIVO,08:45 a 16:45,Av. Angamos Este 2520 - Surquillo (puerta emergencia del INEN),2024
LIMA,LIMA,SAN MARTIN DE PORRES,PVM - OR SAN MARTIR DE PORRES,OPERATIVO,08:45 a 16:45,Av. Eduardo de Habich 592,2024
PUNO,PUNO,PUNO,ORA MANUEL NUÑEZ BUTRON,OPERATIVO,08:45 a 16:30,Avenida El Sol N° 1022,2024
PUNO,PUNO,PUNO,ORA HOSPITAL BASE III (PUNO) - RED ASISTENCIAL PUNO,OPERATIVO,08:45 a 16:30,Jirón Francisco Cáceres Jara Nº 600,2024
PUNO,SAN ROMAN,JULIACA,ORA CARLOS MONGE MEDRANO,OPERATIVO,08:45 a 16:30, Carretera a Huancane Km 2,2024
PUNO,EL COLLAO ,ILAVE ,ORA ILAVE,OPERATIVO,08:45 a 16:30,Jirón Atahualpa Nº 825,2024
PUNO,SAN ROMAN,JULIACA,ORA HOSPITAL BASE III JULIACA - ESSALUD - RED ASISTENCIAL JULIACA,OPERATIVO,08:45 a 16:30,Avenida José Santos Chocano S/N - La Capilla,2024
PUNO,PUNO,PUNO,OR PUNO,OPERATIVO,08:45 a 16:45,Jirón Arequipa N° 1143 - 1145 Barrio Victoria,2024
PUNO,AZANGARO,AZANGARO,PAP AZANGARO,OPERATIVO,08:45 a 16:45,Jirón Azangaro N° 160  (Palacio Municipal),2024
PUNO,CARABAYA,MACUSANI,PAP CARABAYA,OPERATIVO,08:45 a 16:45,Jirón Raimondi N° 116,2024
PUNO,CHUCUITO,JULI,PAP CHUCUITO,OPERATIVO,08:45 a 16:45,Jirón Ilave 235 - Mercado Central Municipio,2024
PUNO,HUANCANE,HUANCANE,PAP HUANCANE,OPERATIVO,08:45 a 16:45,Jirón Moquegua N° 104 - Barrio Progreso,2024
PUNO,LAMPA,LAMPA,PAP LAMPA,OPERATIVO,08:45 a 16:45,Jirón Alfonso Ugarte N° 343,2024
PUNO,MELGAR,AYAVIRI,PAP MELGAR,OPERATIVO,08:45 a 16:45,Calle Jorge Chavez N°  550,2024
PUNO,SANDIA,SANDIA,PAP SANDIA,OPERATIVO,08:45 a 16:45,Avenida Juliaca S/N - Mercado Central Sandia,2024
